record_id,event_time,region,channel,amount_str,notes
R00017,2025-10-14T13:19:00Z,A7,PHONE,-79.18 C1,flag=T; items=2
R00110,2025-11-25T20:52:04Z,A1,web,"143,96 C2",adj=-5.08%; flag=T; items=0; fee=+3.54
R00024,2025-11-20T06:15:27Z,A7,Phone,139.53,adj=-8.31%; items=10; fee=-7.52
R00086,2025-08-01T04:09:30Z,A1,web,45.92,items=12; fee=-6.96; flag=U; WaIvE=true; adj=-5.42%
R00240,2025-09-08T10:20:00Z,A5, phone ,C1 191.27,items=0; fee=+23.85
R00273,2025-08-01T00:00:00Z,A4,phone,C1 183 ,flag=T; items=8; fee=+12.05; adj=-10.73%
R00127,,A4,phone,C1 75,fee=-20.20; adj=+1.41%; items=4
R00215,2025-09-23T00:00:00Z,A4,app,84.35C1,items=2; adj=-0.63%; fee=-29.36; flag=N
R00238,2025-09-19T21:44:59Z,A6,web,C1 116.39,fee=+4.26; items=1; flag=N; adj=+0.75%
R00135,2025-10-27T00:00:00Z,A2, phone ,(294.34 C2,adj=+1.83%; items=2
R00260,2025-10-04T21:28:00Z,A2,PHONE," C1 331,05 ",adj=-23.12%; items=0
R00079,2025-11-10T05:09:00Z,A5,PHONE,"376,10 C2",fee=-33.64; items=1; flag=U; adj=+19.42%
R00225,2025-10-02T11:04:00Z,A6,web,107.51 C1,fee=-18.70; items=8; adj=-11.94%; flag=S
R00030,2025-12-10T16:07:34Z,A4,Phone,"C1 113,75",items=1; flag=T; fee=+77.40; adj=+5.50%
R00188,2025-08-05T11:17:58Z,A1,PHONE,"105,03 C2",fee=+22.12; items=1; adj=+9.52%
R00056,2025-09-22T02:47:04Z,A1,email,"1.234,56 C2",adj=+4.35%; fee=-25.29; items=5
R00045,2025-08-14T00:00:00Z,A1,phone,"1.234,56 C2",adj=+20.14%; items=1
R00172,2025-10-27T06:22:00Z,A6,app,211,items=25; fee=+5.53; flag=R; adj=+7.31%
R00174,2025-08-07T17:48:32Z,A8,Phone,"146,71 C2",fee=-40.99; adj=-1.42%; flag=N
R00130,,A4,phone,"1.234,56 C2",flag=T; fee=+112.24; items=12; adj=+1.80%
R00100,2025-10-14T07:01:00Z,A7,phone	,55.19 C2,flag=R; items=1; fee=-1.86; adj=+5.81%
R00179,2025-10-27T19:31:00Z,A6, phone ,"1.234,56 C2",items=50; fee=+33.65; flag=N; adj=-2.55%
R00006,2025-08-27T02:52:00Z,A8,web,(C1 59.55,fee=+21.73; adj=-0.64%
R00169,2025-08-15T01:42:42Z,A8,phone,"C1 1,234.56",fee=+14.12; items=8; adj=+3.86%; flag=N
R00043,2025-08-25T05:03:00Z,A5,phone,133,items=1; adj=+14.41%; fee=+8.16
R00243,2025-09-04T03:20:00Z,A6,email,C1 66,flag=U; fee=-19.00; items=2; adj=-3.23%
R00254,2025-10-27T04:07:00Z,A2,web,248 C2,fee=+20.85; flag=T; adj=-4.11%
R00206,2025-08-27T00:05:34Z,A8, phone ,C1 54.61,fee=+41.45; flag=S; items=5; waive=true
R00262,2025-11-09T17:38:00Z,A5,app,C1 122,items=0; fee=+18.59; adj=+18.44%; flag=R
R00145,2025-09-08T22:55:45Z,A2,phone,C1 129.39 ,items=4; adj=-14.64%; fee=+28.24; flag=R
R00002,2025-09-23T15:29:25Z,A3,email,C1 102.82,adj=+8.11%; items=8; fee=+1.34
R00202,2025-11-15T07:07:00Z,A2,phone,"134,77 C2 ",items=3; adj=-5.71%; fee=+36.38; flag=R
R00233,2025-11-08T18:51:32Z,A6,PHONE,,waive=true; fee=-1.31; adj=+12.94%; items=6
R00185,2025-08-25T01:08:02Z,A1,PHONE,74 CR,items=2; adj=-4.64%; flag=S
R00138,2025-08-16T10:05:23Z,A2,phone,"102,97 C2",fee=+76.45; items=4; adj=-25.36%; flag=R
R00074,2025-10-07T17:54:50Z,A7,web,79.17 C1,fee=+12.79; adj=-2.41%; items=12
R00223,2025-10-23T00:00:00Z,A4,PHONE," 70,36 C2",adj=+5.94%; flag=S; fee=-28.36; items=6
R00203,2025-10-02T11:19:28Z,A8,phone, C1 91,adj=+2.47%; items=10; fee=+9.06; flag=R; WaIvE=true
R00138,2025-09-13T03:42:00Z,A7,phone,84.150,adj=-11.71%; fee=-34.35; items=4; flag=R
R00069,2025-11-08T16:19:00Z,A2,email,"71,36 C2 ",flag=T; items=4; adj=-21.53%; fee=+12.73
R00234,2025-08-02T00:13:35Z,A7,phone,"-177 , 70C2",fee=-9.20; adj=+4.32%; items=1
R00005,2025-11-06T00:00:00Z,A1,email, C1 301.59,adj=-13.96%; items=3; WaIvE=true
R00252,2025-08-26T00:00:00Z,A8,email,(184.41 C1,adj=-3.60%; fee=-38.13; items=1; flag=T
R00121,2025-10-21T19:23:26Z,A5,phone	, (-182.49),WaIvE=true; items=3; fee=-18.01; adj=-11.29%
R00001,2025-08-26T11:40:00Z,A7,Phone,C159.37,adj=+5.65%; fee=-7.53
R00269,2025-09-21T13:49:00Z,A5,web,107.56 C1,items=50; adj=+1.33%; fee=-8.81
R00272,2025-09-11T07:57:36Z,A8,phone	,C1 29.62,items=5; adj=+1.26%; fee=-7.11
R00261,2025-10-15T08:04:00Z,A7, phone ,(29),adj=+14.40%; fee=+31.68; items=12
R00108,2025-11-04T20:41:00Z,A6,web, 84,flag=U; items=2; fee=-0.92; adj=-1.48%
R00036,2025-10-08T06:47:00Z,A8,PHONE,(C1 63.64),items=25; adj=+3.50%; WAIVE=TRUE; fee=-8.92
R00096,2025-11-09T13:00:00Z,A5,web,C1 100.00,items=1; adj=+0.00%; fee=+0.00
R00044,2025-08-07T09:18:57Z,A3,web,131 C2,adj=-16.97%; fee=-8.32; flag=R; WAIVE=TRUE; items=1
R00298,2025-12-22T21:00:29Z,A5,phone,136 . 48 C1,flag=U; adj=-1.18%; items=50; fee=-11.09
R00163,,A3,email,,items=5; adj=+2.01%; flag=R; fee=+19.82
R00033,2025-10-28T14:05:19Z,A6,phone,66.03 C1,fee=+23.07; adj=+1.99%; items=1; flag=N
R00167,2025-09-18T00:00:00Z,A7,web,78 C2,adj=-11.17%; items=4; fee=-13.20
R00265,2025-10-20T18:19:42Z,A7,phone,"151,63 C2",fee=+4.74; items=1
R00137,2025-08-24T17:44:00Z,A2,phone	,1042.86),adj=-6.47%; items=6; fee=+7.83
R00070,2025-10-30T15:10:00Z,A8,Phone,"154 , 32 C2",flag=T; fee=-58.39; items=0; adj=+1.61%
R00089,2025-10-15T01:23:00Z,A8,email,312.41,flag=U; adj=+6.08%; WaIvE=true; fee=+9.81; items=3
R00197,2025-10-26T00:00:00Z,A1,app,"100,75 C2",items=0; flag=T; fee=-30.20; adj=-0.98%
R00115,2025-08-24T23:34:00Z,A2, phone ,99.553,fee=-16.50; adj=+6.01%; items=0; flag=R
R00137,2025-08-23T01:31:00Z,A2,email,C1 96.57,fee=-6.61; adj=+4.90%; items=4
R00247,2025-11-14T00:00:00Z,A5,phone	,C1 71.12 ,fee=+2.63; items=8
R00283,2025-08-19T03:14:00Z,A5,PHONE,"68,61 C2",adj=-13.95%; items=6; flag=N
R00032,2025-11-07T07:00:00Z,A6,web,C1 100.00,items=1; adj=+0.00%; fee=+0.00
R00141,,A1,app,C1 38.50,adj=-2.69%; items=4; fee=+8.20
R00017,2025-08-16T21:09:00Z,A8,web,100.770,
R00034,2025-09-19T11:59:00Z,A8,phone,C1 63.54,items=1; adj=+3.49%
R00020,2025-11-11T16:32:00Z,A5,email,(C1 94.05 ,items=8; adj=+0.97%
R00103,2025-09-19T13:29:16Z,A1,phone, C1 476,fee=-9.88; items=4; flag=R
R00204,2025-11-12T07:31:00Z,A4, phone , 199.65,fee=+4.93; adj=+11.16%; items=4; flag=U
R00203,2025-11-08T12:03:16Z,A7,email,59.69,flag=U; items=50; fee=-3.64
R00128,,A3,Phone, 86.88,items=6; fee=+16.90; adj=+2.55%
R00154,2025-08-30T13:15:56Z,A4, phone ,366.337,adj=+7.20%; fee=-20.78; items=3; flag=T
R00142,2025-11-13T05:25:02Z,A6, phone ,75.09 C1,adj=-0.04%; items=4; flag=U; waive=true; fee=-0.29
R00200,2025-11-12T16:42:00Z,A3,phone,-C1 69.48,items=2; fee=-19.37; adj=-8.10%
R00048,2025-09-14T06:46:11Z,A6,Phone,C1 104.25,items=2; fee=-19.56; adj=+14.65%; flag=N
R00299,2025-08-22T08:34:00Z,A5,PHONE,,flag=S; adj=-0.17%; WAIVE=TRUE; items=10; fee=-11.28
R00241,2025-09-06T12:57:36Z,A5,web,"72,89C2",flag=R; items=3; fee=+13.45; adj=+13.54%
R00226,2025-11-02T13:10:00Z,A8,phone	,C1 118.02,adj=+6.31%; flag=U; items=3; fee=+43.78
R00106,2025-10-15T07:06:00Z,A7,web, C1 123,flag=T; fee=-25.88; adj=+3.01%; items=2
R00209,2025-09-10T20:25:00Z,A7,email,C190.42,fee=-5.42; adj=-17.78%; items=1
R00104,2025-10-09T04:53:00Z,A8,Phone,"C1 57,50",items=6; fee=+4.28
R00250,2025-11-08T02:24:29Z,A4,phone,,fee=+24.51; items=0; adj=-8.92%
R00105,2025-08-03T21:23:36Z,A5,email,194.33 C1,flag=N; fee=-0.56; adj=+2.54%; items=4
R00026,2025-12-18T18:45:00Z,A8,app,,items=0; flag=S; adj=+9.42%; fee=-49.26
R00112,2025-10-11T05:49:51Z,A8, phone ,"(C1 83,03)",items=3; fee=-26.81; adj=+3.87%
R00164,2025-09-14T00:00:00Z,A8,Phone,215.04,fee=-38.47; items=2; adj=+9.12%
R00112,2025-08-10T19:17:00Z,A2,Phone, 105.013,items=4; WAIVE=TRUE; fee=-16.78; flag=S; adj=+11.58%
R00077,2025-08-11T14:31:00Z,A4,phone,174.54 C1,flag=T; items=50; adj=+14.74%; fee=+9.37
R00155,2025-09-30T15:28:00Z,A1,phone,,fee=+3.57; items=1
R00036,2025-10-08T10:09:00Z,A6,phone,C1 75.62 CR,fee=-16.05; items=6; WaIvE=true; flag=U
R00227,2025-09-10T15:28:54Z,A4,email,C1 250.14 ,fee=+18.75; items=3
R00002,2025-08-18T12:02:00Z,A4,Phone,83.22,fee=-2.74; items=5; adj=-10.73%
R00087,2025-08-04T01:27:12Z,A4,email,"C1 67,33",flag=S; items=0; adj=+15.12%; fee=+7.79
R00140,2025-11-29T04:33:35Z,A4,email,73.68 C1,adj=+21.80%; fee=+37.80; items=5; flag=T
R00235,2025-08-17T18:54:00Z,A4,Phone,C1 167.48,fee=-49.42; items=2; WaIvE=true; adj=-8.91%
R00272,2025-08-06T19:07:28Z,A7,PHONE,C1 60 ,WAIVE=TRUE; fee=+20.59; items=5; adj=+8.89%
R00268,2025-10-11T21:28:21Z,A1,app,32.74,fee=+22.75; items=0; flag=T; adj=-1.33%
R00142,2025-09-16T00:00:00Z,A8,phone,96.41 C1 ,items=6; fee=+22.20; flag=U; adj=+5.52%
R00196,2025-11-07T00:00:00Z,A4, phone ,C1 120.12,items=8; fee=-79.65; flag=R; adj=+1.15%
R00092,2025-11-03T08:27:09Z,A2,phone,"44,54 C2",fee=-20.25; adj=+3.30%; items=0
R00102,2025-10-14T06:36:41Z,A3,app,,adj=-2.57%; flag=S; items=2; waive=true; fee=+9.58
R00060,2025-11-20T08:30:00Z,A3,app,"C1 12,345",adj=-4.42%; items=25; fee=-26.14; flag=U
R00150,,A4, phone ,62,items=50; fee=+13.48; adj=-6.62%
R00239,2025-11-03T21:34:00Z,A3,web,"CR 292,83 C2",items=25; adj=-4.92%; fee=-15.82
R00209,,A2,phone,,adj=-1.16%; flag=R; fee=-76.47; items=1
R00093,2025-08-11T06:29:00Z,A3,phone	,169.91,WAIVE=TRUE; fee=+45.55; adj=-2.58%; flag=R
R00182,2025-02-08T04:31:00Z,A5,phone,C189,adj=-1.31%; items=1; fee=+6.85; flag=T
R00031,2025-12-22T23:13:30Z,A8,phone,63.03 C2 ,items=0; waive=true; flag=U; adj=+8.64%; fee=-17.61
R00139,2025-09-10T00:00:00Z,A3,PHONE,C1 900.81,flag=N; items=1; adj=+11.03%
R00247,2025-09-19T21:42:17Z,A7,PHONE, 87 C2,flag=N; adj=-22.70%; items=4; fee=+32.71
R00190,2025-10-03T05:34:00Z,A5,app,,adj=-14.77%; fee=-27.20; items=4
R00189,,A1,web, 46 C2 ,items=12; adj=+18.78%; fee=-26.41; flag=S
R00137,2025-11-27T23:25:19Z,A6,app,C1 121.88,adj=-5.04%; items=8; fee=-85.23; flag=U
R00047,2025-09-08T04:24:29Z,A8,app,"32,13 C2",adj=-1.54%; fee=-1.60; items=0
R00169,2025-09-26T10:03:48Z,A2,email,201.06,items=8; adj=+1.53%; fee=+20.52; flag=U
R00277,,A3,phone	, C1 198.59,adj=+10.95%; flag=R; fee=-2.52
R00096,2025-11-08T07:00:00Z,A2,web,C1 100.00,items=1; adj=+0.00%; fee=+0.00
R00179,2025-09-15T23:04:04Z,A7,phone	," 42,54 C2 ",fee=+23.70; adj=-1.79%
R00282,2025-09-13T19:53:45Z,A1,phone,117,WaIvE=true; flag=R; fee=-41.46; items=8; adj=-0.22%
R00269,,A6,email,(C1 123.45),fee=-12.38; adj=-12.45%; flag=R; items=3; WaIvE=true
R00242,2025-08-20T17:17:05Z,A3,email,"1.234,56 C2",adj=+0.28%; fee=-4.49; items=1
R00220,2025-08-01T09:55:00Z,A6,Phone,"325,79 C2",fee=+1.87; items=12; adj=-19.11%
R00235,2025-10-27T09:06:23Z,A6,email,C1 39.54 ,fee=+11.95; flag=S; items=2; adj=+8.46%
R00203,2025-08-10T04:40:10Z,A5,PHONE,(C1 79.20),items=6; WAIVE=TRUE; adj=-21.64%
R00055,2025-10-28T00:00:00Z,A3,phone,76.674 CR,fee=-0.13; adj=+9.05%; items=25
R00260,2025-09-01T05:53:48Z,A1,PHONE,107.97C1,items=4; adj=+4.98%; fee=-10.29; flag=N
R00008,2025-08-22T07:46:46Z,A5, phone ,"149,43C2",
R00095,,A6,web, 93.01,adj=-7.06%; flag=U; items=3; fee=-15.29
R00232,2025-12-06T21:40:48Z,A3,Phone,53 C2,fee=+54.97; items=1; flag=U; adj=+3.35%
R00241,2025-08-14T05:29:00Z,A8,web,"C1 1,234.56",items=2; flag=R; adj=-2.59%
R00113,2025-10-18T19:06:15Z,A6,email,44.59 C1,flag=T; adj=-6.74%; items=1
R00216,2025-10-20T16:33:00Z,A1,web,"83,06 C2 ",fee=+4.10; items=3; adj=+0.70%
R00016,2025-08-29T08:17:00Z,A4, phone ,"C1 12,345",adj=+2.01%; items=2; flag=S; fee=-5.73
R00126,2025-09-13T19:33:42Z,A7,phone	,57.49,items=5; fee=-4.08; adj=+11.09%
R00238,2025-08-01T00:42:20Z,A4,Phone,C1 55 ,fee=-43.72; adj=+7.60%; items=3
R00097,,A6,email,C1 58.89,fee=+23.23; items=4; adj=-15.43%
R00178,2025-08-31T22:34:00Z,A3,phone	,,adj=+2.82%; fee=-16.52; flag=U; WAIVE=TRUE; items=1
R00168,2025-10-14T15:05:00Z,A1,Phone,,flag=S; adj=-8.67%; items=2; fee=+17.32
R00131,2025-09-24T19:15:15Z,A4,phone, C1 68.14,adj=+3.96%; items=2; flag=N
R00165,2025-08-02T01:26:08Z,A6,phone,C1 134.21,adj=+10.29%; flag=R; fee=+34.62; items=6
R00110,2025-10-02T12:38:00Z,A1,app,207 . 15 CR,flag=S; waive=true; fee=+14.84; items=5; adj=+0.39%
R00172,2025-10-13T11:33:54Z,A7,app,178.79 CR ,items=2; fee=+45.26; flag=T
R00267,2025-10-23T09:23:00Z,A3,app, 116.70 C1,items=3; adj=+17.00%; flag=U
R00105,2025-10-02T18:40:00Z,A5, phone ,(C1 410.81,items=2; fee=+25.12; adj=-7.66%
R00170,2025-08-30T23:18:35Z,A3,phone,"96,06 C2",fee=+24.32; flag=S; WAIVE=TRUE; items=5; adj=+3.27%
R00079,2025-09-28T19:48:00Z,A2,PHONE,167 C2,items=4; fee=+38.74; flag=U; adj=-3.32%; WAIVE=TRUE
R00083,,A8,phone	,"38,65 C2 ",
R00299,2025-08-08T02:46:00Z,A1,phone,C1 123.88,items=3; flag=N; fee=+28.28; WaIvE=true; adj=-2.48%
R00117,2025-09-20T19:15:00Z,A1,email, 92.22 CR,items=50; waive=true; adj=-7.20%; fee=+6.37
R00070,2025-08-07T15:36:00Z,A5,app,66.02 C1 ,fee=-26.93; flag=N; adj=-8.21%
R00018,2025-08-07T07:05:00Z,A7,web,"79,12 C2 CR",items=1; adj=-5.80%; flag=U; fee=-16.19
R00214,,A4,app,"C1 12,345",adj=-3.29%; flag=N; fee=+25.79; items=2
