dispatch_id,timestamp,product_id,quantity,total_weight_kg
104,2023-07-14 16:17:32,KP7HEZVM,43,18.49
105,2023-07-14 16:17:32,KP7HEZVM,43,18.49
106,2023-07-14 16:20:26,NGJ6P5S6,34,7.14
107,2023-07-14 16:20:26,NGJ6P5S6,34,7.14
108,2023-07-14 20:02:20,D4WAW6RP,33,7.26
109,2023-07-14 20:02:20,D4WAW6RP,33,7.26
110,2023-07-15 06:45:07,Q6ESP75R,14,7.28
111,2023-07-15 12:26:20,BQJW4VVV,7,2.94
112,2023-07-15 13:45:56,RJ8SBX78,16,14.72
113,2023-07-15 14:57:42,WV6S29A4,36,18.72
114,2023-07-15 18:00:47,WV6S29A4,20,10.4
115,2023-07-15 18:03:57,56G8FH4H,18,2.34
116,2023-07-16 12:03:41,CJMZCQ36,16,6.72
117,2023-07-16 12:15:12,WRJK577T,57,59.85
118,2023-07-16 12:30:30,3M9FEY7D,16,16.8
119,2023-07-16 15:03:45,7M3YPZX4,60,63.0
120,2023-07-16 15:38:14,XWGGJB72,41,17.63
121,2023-07-16 19:52:21,X62MEHYA,24,5.04
122,2023-07-17 06:48:02,WV6S29A4,31,16.12
123,2023-07-17 09:32:08,Q7YA6YJ5,12,18.6
124,2023-07-17 12:06:02,MRDWM7KH,8,4.4
125,2023-07-17 13:34:32,2S7WFWDT,40,4.4
126,2023-07-17 18:54:38,2S7WFWDT,37,4.07
127,2023-07-18 03:17:00,BZ6G6CMJ,50,50.0
128,2023-07-18 03:17:00,JW2NGHNN,15,15.75
129,2023-07-18 03:17:00,9ZQHATAP,20,10.4
130,2023-07-18 03:17:00,8S2TFS89,220,198.0
131,2023-07-18 03:17:00,8WKVXJ8T,80,44.0
132,2023-07-18 03:17:00,3K8HYYKV,25,26.25
133,2023-07-18 03:17:00,S6KEE3MX,30,12.6
134,2023-07-18 03:17:00,WKMNYJ7M,40,20.8
135,2023-07-18 09:44:49,ESMJ8RTM,9,4.68
136,2023-07-18 16:17:10,JQQZB92E,7,7.35
137,2023-07-18 19:48:06,CVGKWEKG,59,47.2
138,2023-07-19 06:44:19,MPXDRFQ5,22,4.84
139,2023-07-19 07:25:32,VP5NCD33,58,12.18
140,2023-07-19 07:25:35,YQNMFKGM,17,3.74
141,2023-07-19 07:58:53,4QGSCVZT,13,13.65
142,2023-07-19 08:01:05,X62MEHYA,42,8.82
143,2023-07-19 08:44:37,J4H848RE,30,12.9
144,2023-07-19 14:01:53,NZ2Z6VVH,38,19.76
145,2023-07-19 16:11:20,AHJC5DJJ,13,4.94
146,2023-07-20 10:27:11,XWGGJB72,49,21.07
147,2023-07-20 14:17:44,Q6ESP75R,25,13.0
148,2023-07-21 07:05:13,CNSYM5KE,5,1.1
149,2023-07-21 08:03:40,JW2NGHNN,3,3.15
150,2023-07-21 09:29:18,CVGKWEKG,38,30.4
151,2023-07-21 11:54:16,PSTAERSM,41,8.61
152,2023-07-22 17:41:05,WDTP6NB3,38,4.18
153,2023-07-22 18:01:49,WKMNYJ7M,16,8.32
154,2023-07-23 06:06:22,J4H848RE,47,20.21
155,2023-07-23 12:56:31,S6KEE3MX,12,5.04
156,2023-07-23 13:20:19,PHJ78SQ5,10,3.2
157,2023-07-23 16:03:45,WRJK577T,22,23.1
158,2023-07-23 17:02:24,64BN3AKZ,19,4.94
159,2023-07-23 18:51:48,6BB22NDY,9,1.98
160,2023-07-24 15:32:35,JXFS7FCC,6,6.3
161,2023-07-24 16:12:38,JXFS7FCC,9,9.45
162,2023-07-24 17:05:08,Y3Y9KJ49,3,1.56
163,2023-07-24 17:55:36,JQQZB92E,6,6.3
164,2023-07-24 18:48:46,VA45S8V2,43,18.49
165,2023-07-24 19:07:30,3K8HYYKV,6,6.3
166,2023-07-24 19:47:02,CJ43XZAV,24,12.48
167,2023-07-24 20:13:57,NGJ6P5S6,16,3.36
168,2023-07-25 09:02:09,6BB22NDY,37,8.14
169,2023-07-25 09:30:00,5901234567891,18,21.6
170,2023-07-25 13:42:48,2WHVNHPY,6,1.32
171,2023-07-25 13:59:27,YQNMFKGM,25,5.5
172,2023-07-25 15:47:19,VP5NCD33,22,4.62
173,2023-07-25 18:30:06,DAJV49SM,32,3.52
174,2023-07-26 08:34:09,R9WDAAKQ,24,5.28
175,2023-07-26 09:44:26,YH43EW7Z,59,23.6
176,2023-07-26 17:01:24,NZ2Z6VVH,51,26.52
177,2023-07-26 17:45:43,56G8FH4H,14,1.82
178,2023-07-26 20:11:25,2HPSYNG4,11,11.55
179,2023-07-27 10:50:46,Q7YA6YJ5,48,74.4
180,2023-07-27 15:12:56,MPXDRFQ5,30,6.6
181,2023-07-27 16:38:07,JXFS7FCC,20,21.0
182,2023-07-27 17:29:39,MRDWM7KH,18,9.9
183,2023-07-27 17:53:28,4QGSCVZT,11,11.55
184,2023-07-27 19:58:14,WNB5WYZX,24,25.2
185,2023-07-27 20:22:59,R9WDAAKQ,38,8.36
186,2023-07-28 06:49:51,VP5NCD33,16,3.36
187,2023-07-28 08:37:10,D4WAW6RP,30,6.6
188,2023-07-28 11:36:15,CJMZCQ36,9,3.78
189,2023-07-28 15:38:18,MPXDRFQ5,16,3.52
190,2023-07-28 16:49:40,TVPMX3Q8,20,8.4
191,2023-07-28 20:45:58,RJ8SBX78,58,53.36
192,2023-07-29 06:07:04,VKXXAHSC,12,5.04
193,2023-07-29 09:59:49,9ZQHATAP,3,1.56
194,2023-07-29 10:54:44,VA45S8V2,9,3.87
195,2023-07-29 12:59:23,8WKVXJ8T,7,3.85
196,2023-07-29 13:08:20,ESMJ8RTM,3,1.56
197,2023-07-29 13:50:54,M2RHAZSD,12,5.04
198,2023-07-29 15:14:39,WNB5WYZX,15,15.75
199,2023-07-29 18:33:25,XWGGJB72,36,15.48
200,2023-07-29 18:43:42,CVGKWEKG,33,26.4
201,2023-07-29 20:17:15,YQNMFKGM,29,6.38
202,2023-07-30 06:39:07,2WHVNHPY,11,2.42
203,2023-07-30 07:21:05,D4WAW6RP,23,5.06
204,2023-07-30 10:55:31,X7WE4EP9,57,9.12
205,2023-07-30 11:30:45,C75VQD4N,5,2.6
206,2023-07-30 13:23:46,S6KEE3MX,12,5.04
207,2023-07-30 17:03:15,D4WAW6RP,17,3.74
208,2023-07-30 20:23:56,PHJ78SQ5,8,2.56
209,2023-07-31 06:46:45,Y3Y9KJ49,4,2.08
210,2023-07-31 07:23:59,M2FPXB2R,7,2.94
211,2023-07-31 12:30:15,Z52MAEBY,50,16.0
212,2023-07-31 14:41:25,MPXDRFQ5,29,6.38
213,2023-07-31 20:56:59,WV6S29A4,36,18.72
