product_id,name,ean_code,unit_price,storage_category,unit_weight_kg,max_safe_temp_c
446H79FV,Sour Cream 200ml,5900000000039,4,Dairy,0.21,6
Q6ESP75R,Greek Yogurt 500g,5900000000040,7,Dairy,0.52,6
64BN3AKZ,Camembert 250g,5900000000041,13,Dairy,0.26,6
XDG8QTVM,Kefir 500ml,5900000000042,4,Dairy,0.52,6
V3982P7Z,Cottage Cheese 200g,5900000000043,5,Dairy,0.22,6
MPXDRFQ5,Feta Cheese 200g,5900000000044,11,Dairy,0.22,6
YQNMFKGM,Cream Cheese 200g,5900000000045,7,Dairy,0.22,6
CJ43XZAV,White Bread 500g,5900000000046,"5,00",Dry,0.52,35
238DS5BH,Whole Grain Bread 500g,5900000000047,"6,00",Dry,0.52,35
CDBSWMDZ,Pasta Spaghetti 500g,5900000000048,"5,00",Dry,0.52,35
J2K5RFEX,Pasta Penne 500g,5900000000049,"5,00",Dry,0.52,35
7M3YPZX4,White Rice 1kg,5900000000050,"6,00",Dry,1.05,35
4QGSCVZT,Brown Rice 1kg,5900000000051,"7,00",Dry,1.05,35
Y4VMX5PE,Cornflakes 500g,5900000000052,"9,00",Dry,0.52,35
NZ2Z6VVH,Oatmeal 500g,5900000000053,"6,00",Dry,0.52,35
XWGGJB72,Tomato Canned 400g,5900000000054,"3,00",Dry,0.43,35
KP7HEZVM,Chickpeas Canned 400g,5900000000055,"4,00",Dry,0.43,35
CVGKWEKG,Olive Oil 750ml,5900000000056,"19,00",Dry,0.8,35
RJ8SBX78,Sunflower Oil 1L,5900000000057,"8,00",Dry,0.92,35
ZVF8GFHC,Ground Coffee 250g,5900000000058,"20,00",Dry,0.26,35
WDTP6NB3,Tea Bags 50pcs,5900000000059,"10,00",Dry,0.11,35
DAJV49SM,Dark Chocolate 100g,5900000000060,"6,00",Dry,0.11,35
2S7WFWDT,Milk Chocolate 100g,5900000000061,"5,00",Dry,0.11,35
VP5NCD33,Crackers 200g,5900000000062,"5,00",Dry,0.21,35
X7WE4EP9,Potato Chips 150g,5900000000063,"6,00",Dry,0.16,35
VA45S8V2,Honey 400g,5900000000064,"15,00",Dry,0.43,35
YH43EW7Z,Strawberry Jam 370g,5900000000065,"9,00",Dry,0.4,35
WRJK577T,Wheat Flour 1kg,5900000000066,"4,00",Dry,1.05,35
3M9FEY7D,White Sugar 1kg,5900000000067,"5,00",Dry,1.05,35
WV6S29A4,Table Salt 500g,5900000000068,"2,00",Dry,0.52,35
ZKBRB9Z4,Mustard 185g,5900000000069,"5,00",Dry,0.2,35
HCBZV3V9,Ketchup 480g,5900000000070,"6,00",Dry,0.51,35
J4H848RE,Mayonnaise 400g,5900000000071,"7,00",Dry,0.43,35
Q7YA6YJ5,Mineral Water 1.5L,5900000000072,"3,00",Dry,1.55,35
WNB5WYZX,Orange Juice 1L,5900000000073,"7,00",Dry,1.05,35
6VCEP9SY,Apple Juice 1L,5900000000074,"6,00",Dry,1.05,35
Z52MAEBY,Biscuits 300g,5900000000075,"7,00",Dry,0.32,35
GGF22WF7,Nut Mix 200g,5900000000076,"13,00",Dry,0.21,35
X62MEHYA,Raisins 200g,5900000000077,"5,00",Dry,0.21,35
PSTAERSM,Tomato Paste 200g,5900000000078,"4,00",Dry,0.21,35
9KN6Z2QX,Vegetable Broth 500ml,5900000000079,"5,00",Dry,0.52,35
4Q6V8WTK,Premium Electric Kettle,5901234567891,"250,00",Dry,1.2,35
