company_id,registration_date,industry,region,employees,declared_revenue_annual,bank_account_age_months
9990,2015-08-21,Construction,region_4,442,946236.72,104
1473,2012-03-07,Finance,region_7,427,327526.78,27
7030,2017-12-19,Energy,region_10,439,236359.15,95
3666,2017-11-25,Hospitality,region_5,765,116239.24,27
5735,2019-03-17,Professional Services,region_1,512,442300.81,38
4505,2014-11-20,Real Estate,region_6,924,76157.5,54
8108,2012-08-31,Professional Services,region_1,641,60325.13,75
5548,2015-01-19,Entertainment,region_9,287,69727.51,61
5254,2012-05-27,Agriculture,region_2,784,433888.16,58
3126,2011-05-16,Real Estate,region_7,306,665904.3,46
3540,2012-10-22,Entertainment,region_4,375,430830.95,78
4179,2014-09-13,Hospitality,region_8,493,223340.19,59
4340,2015-10-31,Real Estate,region_3,203,630556.73,19
2508,2011-01-02,Entertainment,region_2,566,956486.19,18
3692,2015-10-02,Telecommunications,region_8,296,534097.44,27
4366,2012-04-12,Real Estate,region_5,838,364105.81,26
1974,2015-10-23,Manufacturing,region_8,278,315249.87,50
4129,2014-04-12,Retail,region_8,154,486311.87,14
6587,2018-06-21,Entertainment,region_3,817,453758.23,56
5508,2017-03-21,Construction,region_4,186,472809.69,26
2541,2010-11-10,Healthcare,region_4,754,320708.3,27
5069,2018-04-06,Telecommunications,region_3,704,375580.11,41
1475,2018-12-12,Agriculture,region_1,932,502952.53,78
7211,2011-04-08,Entertainment,region_10,475,890881.67,77
4469,2016-02-05,IT,region_6,465,90342.46,88
7279,2014-12-21,Real Estate,region_6,495,572485.68,53
1436,2010-02-07,Real Estate,region_1,114,232925.89,28
1304,2011-06-14,Finance,region_4,671,891000.02,107
9874,2012-05-22,Professional Services,region_5,273,610236.4,78
4162,2016-03-25,Retail,region_2,618,178101.97,40
3478,2013-07-11,Entertainment,region_1,951,408850.81,12
3331,2013-01-12,Professional Services,region_3,742,813868.32,26
4306,2012-03-12,Entertainment,region_5,145,680931.53,121
2953,2017-04-09,IT,region_5,346,271951.63,117
1319,2012-11-09,Real Estate,region_6,258,778033.18,76
9686,2015-11-29,Hospitality,region_6,843,14262.72,30
3136,2011-02-12,Education,region_8,44,215918.09,110
6483,2011-10-23,Finance,region_4,145,749605.04,51
6800,2017-11-12,Education,region_8,200,415948.3,56
8029,2011-04-26,Finance,region_5,741,983157.3,86
6598,2017-03-13,Energy,region_1,925,253416.83,121
8190,2012-05-02,Finance,region_2,418,208556.85,60
1059,2017-03-30,Telecommunications,region_6,294,798099.84,30
2157,2011-11-17,Healthcare,region_2,604,262181.07,37
3645,2014-08-17,Entertainment,,406,232442.58,52
2318,2015-09-18,Transportation,region_8,90,642857.84,24
2955,2015-10-10,Entertainment,region_1,919,852487.15,34
2411,2017-05-05,Manufacturing,region_7,860,312742.23,106
2078,2013-10-12,Professional Services,region_2,133,783029.97,24
5196,2012-08-01,Professional Services,region_8,62,532183.05,107
5621,2017-12-22,Manufacturing,region_10,752,294976.33,55
2465,2017-03-29,Entertainment,region_4,675,586817.91,64
8377,2010-05-17,Real Estate,region_3,915,254257.8,95
2751,2013-01-23,Transportation,region_10,799,797279.94,27
5765,2019-08-07,Construction,region_4,2,49288.34,59
6927,2013-06-10,Hospitality,region_5,76,102869.75,120
2065,2018-08-01,Construction,region_7,288,789914.92,75
3502,2010-03-12,Retail,region_4,782,772491.18,40
7843,2016-09-17,IT,region_5,661,831299.45,115
9812,2017-05-31,Education,region_1,324,500649.03,71
1284,2011-09-24,Construction,region_5,867,40583.91,103
7659,2010-07-11,Education,region_9,364,265036.49,92
1042,2012-07-10,Education,region_5,888,223765.54,69
6676,2012-02-07,Construction,region_10,798,36910.31,32
1038,2018-06-25,Education,region_2,639,746554.78,113
1696,2014-12-25,IT,region_9,66,209519.63,80
6375,2018-12-15,Finance,region_3,354,582823.2,20
2187,2010-04-07,Entertainment,region_2,681,338841.42,112
5630,2018-03-29,Manufacturing,region_1,95,128909.52,50
3181,2010-02-06,Real Estate,region_6,35,828982.05,21
7032,2019-02-25,Agriculture,region_5,634,883353.32,41
9709,2014-07-18,Finance,region_5,418,352603.18,57
2120,2015-07-05,Finance,region_8,799,268096.74,54
5694,2017-03-01,Agriculture,region_9,692,689189.37,44
2715,2011-02-17,Retail,region_5,767,314588.81,93
1180,2012-12-16,Retail,region_3,117,573145.47,40
2040,2016-10-20,Agriculture,region_10,625,614232.03,23
6925,2018-03-23,Agriculture,region_1,620,685762.24,84
9542,2019-01-07,Retail,region_4,413,95844.37,121
8855,2015-04-26,Transportation,region_6,773,831452.41,33
5905,2010-05-17,Agriculture,region_8,476,504202.28,15
7350,2010-09-09,Professional Services,region_8,961,605976.99,67
9868,2015-08-12,Telecommunications,region_4,519,486775.67,65
7055,2014-10-26,Hospitality,region_2,970,456070.7,117
3469,2018-02-20,Transportation,region_4,100,10562.45,80
3851,2012-03-12,Professional Services,region_2,712,574283.07,9
5529,2010-04-27,Healthcare,region_4,172,630372.83,28
9096,2013-05-30,Retail,region_10,294,238372.33,94
4880,2018-01-08,Professional Services,region_9,759,851232.89,47
9132,2017-05-18,Agriculture,region_6,354,270242.62,35
4827,2019-06-04,Agriculture,region_8,992,531505.5,45
3775,2011-05-03,Energy,region_9,327,533256.31,29
7360,2010-08-02,Professional Services,region_10,444,985764.89,58
2027,2010-11-23,Agriculture,region_6,962,327641.57,37
1902,2017-11-06,Transportation,region_7,509,640303.58,53
4183,2012-05-21,Transportation,region_2,428,135953.7,44
2613,2010-02-21,Real Estate,,450,235589.11,18
1986,2014-03-30,Retail,region_7,978,185231.4,42
7337,2012-12-22,Hospitality,region_9,70,64385.64,113
1128,2019-04-20,Retail,region_5,108,610500.67,24
4136,2015-11-14,Telecommunications,region_2,77,804724.73,78
7047,2019-05-27,Energy,region_2,597,553998.68,110
9099,2011-10-29,Hospitality,region_10,663,727568.65,28
2939,2010-06-13,Real Estate,region_4,563,482460.58,40
1377,2012-07-13,Energy,region_4,51,358690.37,61
7753,2019-05-02,Agriculture,region_8,547,614300.07,80
7096,2017-05-26,Education,region_7,714,111769.72,106
8070,2013-10-09,Hospitality,region_5,183,231354.42,10
8508,2018-09-19,Telecommunications,region_5,181,826171.39,71
7357,2017-08-05,Education,,536,925712.85,8
5209,2011-03-18,Telecommunications,region_3,765,970499.56,28
9527,2010-04-13,IT,region_7,792,851291.31,15
3717,2014-12-08,Finance,region_7,421,576123.56,64
3199,2012-06-23,Education,region_5,706,850488.64,90
3974,2014-05-01,Energy,region_1,316,969764.0,21
8902,2016-01-01,Hospitality,region_10,381,469283.06,31
9198,2018-07-30,Construction,region_2,220,860965.52,82
1854,2011-05-31,Manufacturing,region_3,593,927403.78,77
7453,2013-05-21,Manufacturing,region_7,989,159092.3,58
6595,2013-02-05,Real Estate,region_8,314,480552.56,14
6277,2014-08-24,Education,region_4,339,847242.41,90
5217,2011-07-01,Finance,region_2,803,654286.64,116
1457,2012-12-14,Finance,,493,150222.58,37
1616,2012-12-21,Retail,region_5,546,148389.71,39
7898,2014-05-11,IT,region_7,525,286839.97,55
6543,2013-09-01,Transportation,region_1,333,117580.3,81
7250,2016-04-25,Entertainment,region_1,460,400131.25,94
6904,2015-12-01,Agriculture,region_6,210,31613.08,74
5200,2011-05-22,Real Estate,,425,109284.52,17
2298,2010-07-20,Telecommunications,region_3,981,766205.63,75
1826,2014-09-27,Professional Services,region_8,635,929871.01,120
8178,2019-02-08,Real Estate,region_4,962,155275.8,69
8940,2017-09-13,Entertainment,region_6,22,457982.85,17
7700,2016-06-05,IT,region_2,156,480128.07,119
9827,2012-08-10,Education,region_1,947,273151.32,97
9771,2018-08-24,Professional Services,region_10,14,507388.86,113
8419,2011-02-19,Transportation,region_2,508,860935.48,24
5494,2016-11-06,Telecommunications,region_10,865,535416.06,51
9966,2012-10-15,Construction,region_6,306,40758.9,52
5478,2017-08-09,Construction,region_3,466,678064.62,27
7247,2015-09-13,Transportation,region_7,353,719584.23,59
2504,2016-01-27,IT,region_10,61,221692.51,72
5764,2012-06-18,Manufacturing,region_10,44,499654.22,70
3828,2017-03-29,Telecommunications,region_10,348,808874.78,21
4991,2018-01-26,Professional Services,region_5,713,716450.74,85
6091,2016-04-05,Real Estate,region_2,117,537917.31,66
3152,2016-03-15,Retail,region_3,20,928391.72,76
4541,2019-02-17,Entertainment,region_1,762,281167.11,33
5798,2016-11-29,Construction,region_10,198,384834.72,54
5319,2016-04-14,Retail,region_3,331,34952.9,16
8966,2013-10-23,Education,region_8,992,929240.91,11
2753,2014-06-15,Real Estate,region_9,39,767109.12,95
1938,2017-11-22,Entertainment,region_8,438,769206.81,88
3650,2016-07-29,Transportation,region_8,496,994326.49,16
3334,2016-11-17,Real Estate,region_8,659,43837.62,83
4655,2011-11-29,Real Estate,region_3,523,106904.45,105
4719,2011-05-31,Retail,region_10,48,453733.93,59
7966,2015-10-10,Entertainment,region_9,54,277637.56,108
9122,2012-04-24,Transportation,region_5,332,507486.93,12
2134,2017-01-22,Agriculture,region_6,55,358410.64,23
5980,2014-11-30,Professional Services,region_1,826,264154.54,83
5507,2012-01-19,Telecommunications,region_6,581,150682.89,103
3361,2017-05-09,Retail,region_2,820,588320.53,42
7277,2010-09-03,Retail,region_1,357,723830.15,71
4230,2017-10-16,Education,region_3,818,76852.04,65
4834,2017-01-18,Retail,region_9,383,937680.92,19
8806,2017-01-11,Energy,region_5,327,591758.62,44
9259,2015-04-20,Real Estate,region_5,716,999767.68,18
8051,2017-01-23,Manufacturing,region_9,486,923134.06,112
4119,2018-06-04,Healthcare,region_4,658,321570.27,115
6357,2012-07-01,Telecommunications,region_9,420,198144.76,69
3426,2017-02-05,Manufacturing,region_7,615,48363.82,13
6053,2013-11-30,Professional Services,region_9,658,103080.99,98
9941,2012-05-23,Professional Services,region_4,492,326959.36,21
8256,2015-01-24,Construction,region_6,301,70024.43,60
5232,2017-02-01,Healthcare,region_7,193,269277.41,28
2025,2017-03-08,Real Estate,region_1,350,538566.58,121
8665,2015-11-27,Manufacturing,region_10,270,526760.31,118
5602,2016-03-01,Energy,region_6,64,434807.88,120
2379,2010-02-17,IT,region_2,24,566389.08,16
9482,2019-03-23,Telecommunications,region_6,511,726197.05,102
7272,2013-07-12,Education,,450,844030.45,93
7951,2018-07-26,Entertainment,region_8,559,224106.62,24
1302,2013-05-06,Energy,region_8,26,345633.39,27
6390,2012-12-07,Real Estate,region_1,99,889148.47,88
5088,2017-08-10,Hospitality,region_7,199,711102.64,118
9814,2013-09-28,Energy,,303,49128.38,14
5056,2019-02-05,Healthcare,region_8,957,949385.02,90
9467,2017-03-23,Healthcare,region_8,490,441775.06,16
5125,2014-07-20,Agriculture,region_10,297,899138.88,75
3826,2015-10-12,Construction,region_2,389,188899.13,94
2131,2016-10-10,Agriculture,,106,501325.86,94
7004,2010-06-14,Manufacturing,region_3,72,409240.85,92
4547,2017-01-04,Manufacturing,region_6,336,206136.56,30
3867,2011-08-07,Entertainment,region_4,584,382967.93,42
4018,2018-03-10,Entertainment,region_4,101,869554.08,86
3722,2013-04-18,Manufacturing,region_6,74,178615.9,86
2253,2012-08-03,Professional Services,region_9,13,75734.3,89
5928,2018-10-16,IT,region_6,94,33518.94,109
6740,2011-05-25,Healthcare,region_8,474,431981.76,69
4758,2019-03-29,Finance,region_6,504,989201.02,52
9613,2011-08-12,Manufacturing,region_7,295,887471.48,61
4925,2012-04-02,Construction,region_4,268,424389.04,13
8826,2014-07-21,Real Estate,region_3,432,312425.81,43
8810,2019-12-19,Agriculture,region_6,18,274420.86,1
3251,2018-03-27,Transportation,,969,245160.32,104
1791,2018-06-05,Professional Services,region_3,53,764628.83,26
1381,2019-01-30,Construction,region_8,112,596211.5,14
1356,2014-03-05,Professional Services,region_10,16,599237.46,28
5061,2017-01-21,Agriculture,region_6,507,559703.06,20
6440,2012-12-06,Entertainment,region_3,756,893616.08,51
4868,2017-02-26,Hospitality,region_10,749,336487.53,40
4560,2010-11-15,Hospitality,region_10,976,422743.41,28
1755,2014-11-17,Finance,region_1,394,532360.0,33
6631,2012-04-03,Real Estate,region_9,129,206000.94,93
4668,2018-08-02,IT,region_7,931,77934.65,90
7312,2017-01-06,Energy,region_9,760,829915.87,109
1836,2013-12-08,IT,region_6,924,957401.87,86
8226,2015-08-02,Professional Services,region_5,441,758559.6,50
2579,2017-12-25,Entertainment,,694,486561.64,68
1068,2014-12-04,Hospitality,region_4,408,587148.48,93
1117,2013-04-05,Real Estate,region_7,194,792340.72,80
5058,2019-04-08,Healthcare,region_9,609,110181.43,18
7319,2014-06-30,Construction,region_6,558,99504.0,84
3378,2019-05-13,Hospitality,region_10,737,829166.44,50
6456,2013-11-20,IT,region_8,730,865467.27,57
7395,2016-12-27,Finance,region_4,372,59875.94,96
6485,2017-09-03,Professional Services,region_3,921,510101.86,115
7491,2017-05-12,Construction,region_9,342,817573.33,105
1783,2012-03-01,Telecommunications,region_10,577,612573.16,18
9783,2017-09-04,Telecommunications,region_7,56,924069.66,114
7915,2014-07-18,Energy,,645,821256.25,30
2554,2013-07-18,Entertainment,region_8,686,950991.31,63
7294,2016-11-14,IT,region_6,602,937692.1,115
9405,2011-02-20,Manufacturing,region_3,466,425567.71,107
5076,2018-08-03,IT,region_3,321,154373.98,103
1736,2010-01-19,Hospitality,region_9,220,171574.62,52
1526,2016-01-04,Professional Services,region_10,296,159483.2,111
8383,2010-07-03,Agriculture,region_7,831,634973.06,68
3956,2013-06-07,Telecommunications,region_6,530,958511.65,7
4860,2018-02-22,Education,region_4,381,22273.24,99
3144,2014-09-08,Finance,region_6,523,257327.83,45
8382,2019-01-24,Healthcare,region_10,972,181198.03,77
7784,2016-09-17,Real Estate,region_10,247,647303.06,63
1179,2014-04-17,Retail,,696,34789.8,33
3213,2015-02-06,Manufacturing,region_8,818,681527.5,77
9171,2013-01-27,IT,region_8,607,402104.6,61
2327,2018-07-23,Agriculture,region_6,86,25645.21,121
8623,2014-12-27,Agriculture,region_3,829,549752.85,24
1760,2012-11-19,Construction,region_1,931,926920.37,20
7170,2016-02-18,IT,region_7,82,202681.93,46
8431,2015-04-11,Manufacturing,region_5,209,456579.26,25
3750,2013-06-14,Manufacturing,region_9,895,656041.58,106
8709,2016-09-12,Professional Services,region_10,500,412787.28,16
8152,2015-05-12,Transportation,,415,670722.92,66
6428,2012-05-06,Entertainment,region_3,107,618056.82,22
7458,2019-01-06,Entertainment,region_6,355,887779.1,112
1446,2014-10-28,Healthcare,region_2,91,499317.18,37
7480,2014-03-16,Telecommunications,region_10,825,903128.17,46
1106,2010-05-22,Finance,region_5,587,575501.06,114
2263,2016-03-22,Retail,region_10,347,295667.48,83
7500,2018-09-21,Energy,region_6,835,633850.45,108
6157,2017-03-18,Entertainment,region_4,468,217184.57,34
5219,2017-08-15,Healthcare,region_9,828,579120.35,94
9988,2011-08-20,Real Estate,region_1,884,732116.36,112
9060,2013-03-11,Retail,region_9,72,425961.23,121
1718,2018-11-13,Construction,region_5,457,927679.51,30
4960,2014-02-18,Energy,region_4,765,842289.21,32
9347,2014-02-18,Entertainment,region_4,250,496694.23,71
5455,2010-12-31,Healthcare,region_7,742,472600.63,72
5003,2016-10-18,Hospitality,region_3,403,477161.91,41
6887,2014-09-30,IT,region_4,786,748191.51,100
2771,2013-12-19,Hospitality,region_7,856,161957.28,16
7956,2016-10-17,Finance,region_3,364,674689.49,33
1895,2017-12-05,Telecommunications,region_3,950,387494.46,13
1651,2010-02-16,Hospitality,region_1,184,821461.64,25
6472,2010-08-12,Education,region_1,873,691864.69,84
3163,2015-10-27,Education,region_9,563,473721.27,88
1688,2016-02-27,Professional Services,region_1,175,646375.73,98
2374,2017-02-26,Professional Services,region_3,829,861957.92,22
7193,2014-07-05,Hospitality,region_6,992,22019.49,55
7746,2014-08-21,Transportation,region_2,256,416237.95,47
9214,2011-07-01,Construction,,787,145296.69,24
4586,2011-01-08,IT,region_4,710,559491.86,40
4735,2013-11-13,Education,region_3,464,189707.88,12
2164,2012-10-16,Hospitality,region_2,991,845964.53,16
9222,2011-04-29,Retail,region_8,365,784933.73,26
3488,2017-09-25,IT,region_8,992,233044.37,9
6047,2018-06-23,Real Estate,region_10,86,883256.93,53
2492,2011-03-30,Transportation,region_7,529,529842.3,84
9747,2013-09-05,Manufacturing,region_6,106,322606.83,9
1082,2010-07-12,Entertainment,region_10,94,842708.86,84
8342,2016-08-29,IT,region_3,802,888548.67,23
8142,2012-05-04,Manufacturing,region_3,659,518907.71,81
7760,2014-12-26,Agriculture,region_3,122,112289.63,16
5034,2016-03-02,Energy,region_6,764,689981.07,86
1375,2015-03-12,Manufacturing,region_5,389,837504.34,88
7265,2012-06-23,Education,region_7,810,583868.07,104
5593,2014-06-07,Professional Services,region_1,682,772691.43,45
3915,2014-10-29,Healthcare,region_3,455,127833.91,75
5520,2014-01-28,Finance,region_1,734,191970.04,110
3462,2019-01-29,Transportation,region_1,213,49547.0,86
8460,2014-07-21,Transportation,region_2,287,600759.09,35
3429,2010-09-25,Telecommunications,region_10,678,63513.77,84
2156,2010-09-06,Retail,region_9,742,470560.35,34
8079,2011-10-14,Hospitality,region_5,134,456703.14,31
3988,2012-04-19,Agriculture,region_5,687,646735.87,116
8747,2016-12-08,Construction,region_5,614,789071.72,11
1484,2012-04-18,Hospitality,region_9,250,217333.01,48
2030,2017-04-18,Agriculture,region_4,81,382704.74,95
5126,2016-07-17,Real Estate,region_3,817,327628.53,68
2145,2010-07-30,IT,region_5,959,750311.83,56
7992,2013-01-02,Manufacturing,region_5,529,324545.11,66
7021,2019-11-19,Healthcare,,36,211386.74,2
8083,2012-05-18,IT,region_5,624,463157.83,7
6626,2017-02-18,Finance,region_5,883,281824.54,31
5501,2014-05-27,Manufacturing,region_4,6,170250.67,28
4619,2014-04-14,Transportation,region_1,473,229605.07,69
7527,2015-09-22,Finance,region_9,113,135590.16,28
5358,2010-03-07,Energy,region_1,648,986831.22,76
1627,2015-09-02,Transportation,region_2,209,626840.79,71
7947,2015-11-10,Education,region_4,312,997098.32,23
2553,2016-08-30,Telecommunications,region_4,970,67025.04,53
8187,2014-02-10,Finance,region_7,874,538053.56,23
2690,2016-05-14,Entertainment,region_9,160,251677.88,35
1160,2019-03-07,Telecommunications,region_2,781,17408.17,121
5531,2013-10-08,Energy,region_5,65,593892.08,35
5859,2013-12-01,Hospitality,region_3,347,598351.48,86
8814,2012-09-06,Education,region_8,884,670164.95,97
3843,2016-06-13,Finance,region_10,916,21074.89,34
6398,2018-04-06,Healthcare,region_8,817,176958.43,83
8134,2015-07-14,Agriculture,region_9,542,958116.47,98
8368,2018-08-13,Telecommunications,region_8,779,156467.44,60
9185,2014-08-02,Healthcare,region_3,691,21691.0,24
2409,2018-02-11,Manufacturing,region_8,800,970095.77,111
4663,2013-11-17,Entertainment,region_3,929,327250.34,68
1967,2019-07-06,Agriculture,region_3,0,26111.0,48
3842,2018-04-16,Finance,region_7,937,821332.69,64
7531,2017-06-08,Agriculture,region_9,719,876348.9,26
4823,2016-11-11,Real Estate,region_3,721,75689.28,76
9731,2010-05-08,Agriculture,region_7,552,168734.74,29
3727,2011-12-28,Telecommunications,region_6,145,553464.99,41
7633,2011-09-02,Professional Services,region_8,658,217986.25,105
4355,2018-07-29,Healthcare,region_8,643,252406.2,74
7296,2015-09-27,Manufacturing,region_4,777,594085.37,67
3355,2018-10-02,Education,region_8,263,890408.83,39
5553,2014-06-27,Professional Services,region_3,283,711855.07,95
6228,2018-08-21,Construction,region_8,440,399317.63,33
1800,2018-06-08,Finance,region_4,574,321013.34,54
8035,2016-12-20,Education,region_8,10,384208.79,75
3020,2015-12-20,Professional Services,region_2,258,237802.12,23
6394,2012-10-18,Hospitality,region_7,913,192466.9,6
6238,2017-04-07,Transportation,region_4,926,767076.98,57
8559,2012-05-20,Energy,region_10,181,646100.63,59
1267,2017-07-17,Agriculture,region_1,889,106569.26,101
4985,2012-01-25,Finance,region_2,867,621173.63,63
9569,2014-09-18,Transportation,region_2,274,601801.55,99
6506,2017-03-08,Telecommunications,region_5,324,451571.4,49
6736,2018-02-23,IT,region_6,734,453973.68,42
7762,2010-05-06,IT,region_10,543,870400.95,89
3247,2019-06-10,Healthcare,region_3,614,612719.73,95
9717,2017-05-25,Entertainment,region_8,254,783109.8,82
8770,2019-10-09,Hospitality,region_8,20,190722.84,3
2968,2010-10-09,Construction,region_10,175,851759.76,112
2567,2010-12-08,Construction,region_7,53,92726.41,43
3690,2017-01-21,IT,region_10,940,203465.39,116
3108,2016-09-29,Healthcare,region_8,644,679258.77,73
1044,2013-05-13,Energy,region_3,29,308775.41,114
8548,2013-11-06,Agriculture,region_2,659,456785.93,61
9654,2017-12-28,Agriculture,region_2,813,280107.62,37
4466,2011-11-18,Finance,region_7,335,459637.22,13
7848,2017-09-03,Energy,region_10,258,692008.04,20
7863,2017-04-13,IT,region_3,903,107333.43,86
5800,2012-08-26,Manufacturing,region_8,574,66249.5,103
3628,2019-05-10,Professional Services,region_1,308,181293.68,60
3215,2018-11-26,Manufacturing,region_8,410,737729.64,80
5411,2016-09-10,Hospitality,region_4,189,10816.37,25
7911,2016-02-22,IT,region_1,400,338431.82,27
2529,2012-01-26,Professional Services,region_2,918,318981.72,96
7512,2010-05-05,IT,region_7,60,604796.84,88
5492,2018-11-15,Agriculture,region_3,193,85872.27,99
1151,2010-02-17,Education,,179,984739.19,88
3657,2018-04-17,IT,region_1,869,371031.51,86
3543,2014-09-08,Entertainment,region_2,762,496598.04,35
8436,2010-02-02,Entertainment,region_2,86,729740.8,22
7245,2018-02-22,Retail,region_6,295,36587.22,28
6122,2017-06-14,Hospitality,region_6,651,394173.01,35
1929,2018-08-12,Healthcare,region_10,572,763892.67,114
9971,2012-06-16,Transportation,region_1,652,928956.26,104
7029,2019-06-22,Agriculture,region_4,216,104399.92,18
7333,2010-04-14,Finance,region_9,793,594311.14,84
4317,2012-05-26,Manufacturing,region_4,614,287782.73,7
4738,2014-05-20,Energy,region_2,814,762327.13,39
3203,2018-03-09,Healthcare,region_7,983,202889.31,84
7615,2017-11-28,Education,region_4,443,121001.93,21
9451,2018-07-23,Retail,region_3,21,954567.2,21
4245,2012-09-09,Hospitality,region_8,326,899267.94,115
8050,2010-10-09,Healthcare,region_4,137,560656.27,19
