invoice_id,seller_id,buyer_id,invoice_date,net_amount,vat_amount,gross_amount,vat_rate,product_category,payment_delay_days
555762,9464,3554,2019-10-17,33809.89,7776.27,41586.16,0.23,Services,2
956800,8100,3554,2019-10-19,34968.54,8042.76,43011.3,0.23,Services,0
451732,9464,3554,2019-10-21,30398.34,6991.62,37389.96,0.23,Services,3
148370,8100,3554,2019-10-23,26970.6,6203.24,33173.84,0.23,Services,0
567553,9198,2950,2019-12-23,34738.93,7989.95,42728.88,0.23,,1
849775,9292,2950,2019-12-25,34653.46,7970.3,42623.76,0.23,Services,2
570800,9198,2950,2019-12-27,22097.83,5082.5,27180.33,0.23,Services,1
282160,9292,2950,2019-12-29,21901.81,5037.42,26939.23,0.23,Services,0
638764,9198,2950,2019-12-31,21804.03,5014.93,26818.96,0.23,Services,1
579297,9292,2950,2020-01-02,29024.44,6675.62,35700.06,0.23,Services,3
338717,9198,2950,2020-01-04,19762.51,4545.38,24307.89,0.23,Services,0
568913,9292,2950,2020-01-06,22707.88,5222.81,27930.69,0.23,Services,3
376976,9198,2950,2020-01-08,23495.92,5404.06,28899.98,0.23,Services,3
247231,9292,2950,2020-01-10,26003.89,5980.89,31984.78,0.23,Services,1
236751,6315,8810,2019-11-07,30426.48,6998.09,37424.57,0.23,Services,1
409263,3690,8810,2019-11-09,22863.15,5258.52,28121.67,0.23,Services,1
532920,6315,8810,2019-11-11,25664.96,5902.94,31567.9,0.23,Services,2
339985,3690,8810,2019-11-13,33752.67,7763.11,41515.78,0.23,Services,1
126667,6315,8810,2019-11-15,31160.09,7166.82,38326.91,0.23,Services,3
861252,3690,8810,2019-11-17,33562.89,7719.46,41282.35,0.23,,1
649451,6315,8810,2019-11-19,29125.89,6698.95,35824.84,0.23,Services,0
193984,3690,8810,2019-11-21,21372.26,4915.62,26287.88,0.23,Services,3
311091,5232,7021,2019-10-22,30265.4,6961.04,37226.44,0.23,Services,2
579668,9598,7021,2019-10-24,32780.81,7539.59,40320.4,0.23,Services,1
217503,5232,7021,2019-10-26,33747.83,7762.0,41509.83,0.23,Services,2
637919,9598,7021,2019-10-28,33094.11,7611.65,40705.76,0.23,Services,2
835093,5232,7021,2019-10-30,21901.84,5037.42,26939.26,0.23,Services,3
481505,9598,7021,2019-11-01,27034.62,6217.96,33252.58,0.23,Services,1
297134,5232,7021,2019-11-03,34593.74,7956.56,42550.3,0.23,Services,2
407939,9598,7021,2019-11-05,18198.0,4185.54,22383.54,0.23,Services,1
259587,5144,8770,2019-09-06,31896.21,7336.13,39232.34,0.23,Services,1
931891,6456,8770,2019-09-08,18766.21,4316.23,23082.44,0.23,Services,1
223395,5144,8770,2019-09-10,30098.64,6922.69,37021.33,0.23,Services,1
717552,6456,8770,2019-09-12,24914.58,5730.35,30644.93,0.23,Services,2
620321,5144,8770,2019-09-14,28384.49,6528.43,34912.92,0.23,Services,0
594354,6456,8770,2019-09-16,26884.37,6183.41,33067.78,0.23,,0
305170,5144,8770,2019-09-18,30724.95,7066.74,37791.69,0.23,Services,3
737532,6456,8770,2019-09-20,34764.99,7995.95,42760.94,0.23,Services,0
323720,5529,4521,2019-09-23,30112.66,6925.91,37038.57,0.23,Services,2
453928,4747,4521,2019-09-25,25948.37,5968.13,31916.5,0.23,Services,2
834635,5529,4521,2019-09-27,18777.52,4318.83,23096.35,0.23,Services,0
758283,4747,4521,2019-09-29,32250.9,7417.71,39668.61,0.23,Services,2
637434,5529,4521,2019-10-01,20763.18,4775.53,25538.71,0.23,Services,3
162339,4747,4521,2019-10-03,28968.08,6662.66,35630.74,0.23,Services,3
856548,5529,4521,2019-10-05,27479.62,6320.31,33799.93,0.23,Services,2
332856,4747,4521,2019-10-07,23392.89,5380.36,28773.25,0.23,Services,1
688642,4659,3495,2019-12-20,29085.95,6689.77,35775.72,0.23,Services,2
883083,7073,3495,2019-12-22,30261.91,6960.24,37222.15,0.23,,0
606340,4659,3495,2019-12-24,33684.1,7747.34,41431.44,0.23,,0
441194,7073,3495,2019-12-26,22858.78,5257.52,28116.3,0.23,Services,1
620796,4659,3495,2019-12-28,33187.53,7633.13,40820.66,0.23,Services,3
374229,7073,3495,2019-12-30,29070.8,6686.28,35757.08,0.23,Services,1
488121,4659,3495,2020-01-01,19853.82,4566.38,24420.2,0.23,Services,2
334015,7073,3495,2020-01-03,25415.76,5845.62,31261.38,0.23,Services,3
204185,8919,1060,2019-12-27,34889.18,8024.51,42913.69,0.23,,0
716843,6115,1060,2019-12-29,23647.98,5439.04,29087.02,0.23,,1
626541,8919,1060,2019-12-31,22276.0,5123.48,27399.48,0.23,Services,1
511539,6115,1060,2020-01-02,28982.34,6665.94,35648.28,0.23,Services,1
139701,8919,1060,2020-01-04,31437.33,7230.59,38667.92,0.23,Services,1
323084,6115,1060,2020-01-06,26712.41,6143.85,32856.26,0.23,Services,0
135567,8919,1060,2020-01-08,26205.69,6027.31,32233.0,0.23,Services,0
484799,6115,1060,2020-01-10,18938.18,4355.78,23293.96,0.23,Services,3
608066,2530,8285,2019-12-31,25819.41,5938.46,31757.87,0.23,Services,0
772327,3679,8285,2020-01-02,21318.13,4903.17,26221.3,0.23,Services,1
719081,2530,8285,2020-01-04,25831.87,5941.33,31773.2,0.23,Services,2
947518,3679,8285,2020-01-06,34192.88,7864.36,42057.24,0.23,Services,1
974844,2530,8285,2020-01-08,27804.44,6395.02,34199.46,0.23,Services,0
756478,3679,8285,2020-01-10,30246.79,6956.76,37203.55,0.23,Services,3
191395,2530,8285,2020-01-12,28819.86,6628.57,35448.43,0.23,Services,0
533012,3679,8285,2020-01-14,32692.06,7519.17,40211.23,0.23,Services,1
811693,4612,7894,2019-02-08,999.22,229.82,1229.04,0.23,Software,14
616868,4612,8142,2019-08-17,998.73,229.71,1228.44,0.23,Software,27
762977,4612,7365,2019-06-07,999.27,229.83,1229.1,0.23,Software,4
221831,4612,5655,2019-07-21,998.58,229.67,1228.25,0.23,Software,27
211853,4612,8615,2019-04-20,998.7,229.7,1228.4,0.23,Software,25
660743,4612,5297,2019-09-12,998.68,229.7,1228.38,0.23,Software,21
360131,4612,6176,2019-03-14,998.96,229.76,1228.72,0.23,Software,4
529463,4612,4327,2019-05-05,999.16,229.81,1228.97,0.23,Software,29
757011,4612,1471,2019-06-05,998.52,229.66,1228.18,0.23,Software,18
241274,4612,1128,2019-05-28,998.83,229.73,1228.56,0.23,Software,0
195674,4612,6394,2019-08-27,999.03,229.78,1228.81,0.23,Software,19
892891,4612,8246,2019-01-20,999.1,229.79,1228.89,0.23,Software,5
584311,4612,1356,2019-02-14,998.69,229.7,1228.39,0.23,Software,5
675965,4612,6743,2019-04-18,999.03,229.78,1228.81,0.23,Software,1
526045,4612,4661,2019-04-14,998.53,229.66,1228.19,0.23,Software,22
585661,4612,2554,2019-06-17,998.73,229.71,1228.44,0.23,Software,26
941395,4612,5478,2019-04-21,999.11,229.8,1228.91,0.23,,1
959754,4612,1038,2019-04-12,999.03,229.78,1228.81,0.23,Software,22
460295,4612,5859,2019-11-14,999.45,229.87,1229.32,0.23,Software,1
979154,4612,4738,2019-08-24,998.72,229.71,1228.43,0.23,Software,22
482659,4612,3419,2019-11-06,999.24,229.83,1229.07,0.23,Software,4
184112,4612,1643,2019-09-22,999.25,229.83,1229.08,0.23,Software,8
685821,4612,9030,2019-07-04,998.85,229.74,1228.59,0.23,Software,16
551747,4612,7398,2019-07-29,999.01,229.77,1228.78,0.23,Software,18
145504,4612,5611,2019-04-04,999.04,229.78,1228.82,0.23,Software,18
404363,8382,9316,2019-03-19,998.86,229.74,1228.6,0.23,Software,11
721521,8382,3690,2019-07-31,999.4,229.86,1229.26,0.23,Software,28
592490,8382,5597,2019-10-18,998.77,229.72,1228.49,0.23,Software,19
411036,8382,5219,2019-05-14,999.43,229.87,1229.3,0.23,Software,26
182949,8382,1471,2019-03-25,998.78,229.72,1228.5,0.23,Software,27
234206,8382,1867,2019-06-11,998.92,229.75,1228.67,0.23,Software,0
388589,8382,6847,2019-08-16,999.04,229.78,1228.82,0.23,Software,4
237545,8382,5786,2019-08-21,998.7,229.7,1228.4,0.23,Software,6
677743,8382,4642,2019-03-24,998.58,229.67,1228.25,0.23,Software,28
575551,8382,3203,2019-04-17,998.82,229.73,1228.55,0.23,Software,5
490648,8382,6139,2019-09-19,999.21,229.82,1229.03,0.23,Software,13
524593,8382,9569,2019-12-22,999.33,229.85,1229.18,0.23,Software,8
630048,8382,4443,2019-11-23,999.27,229.83,1229.1,0.23,Software,10
321752,8382,4541,2019-09-18,998.51,229.66,1228.17,0.23,Software,27
106949,8382,8624,2019-06-16,999.12,229.8,1228.92,0.23,Software,20
286133,8382,8094,2019-04-17,998.61,229.68,1228.29,0.23,Software,24
718932,8382,6646,2019-08-03,999.36,229.85,1229.21,0.23,Software,0
963435,8382,5222,2019-12-04,999.06,229.78,1228.84,0.23,Software,14
579415,8382,7326,2019-04-07,999.28,229.83,1229.11,0.23,Software,17
422743,8382,8954,2019-01-24,998.91,229.75,1228.66,0.23,Software,25
979035,8382,6176,2019-05-16,998.98,229.77,1228.75,0.23,Software,13
213697,8382,6587,2019-10-26,999.1,229.79,1228.89,0.23,,24
694120,8382,1179,2019-12-03,999.18,229.81,1228.99,0.23,Software,19
570360,8382,7272,2019-10-19,999.11,229.8,1228.91,0.23,Software,2
483606,8382,2554,2019-04-18,999.02,229.77,1228.79,0.23,Software,7
418933,2029,12345679,2020-01-01,47306.48,10880.49,58186.97,0.23,Services,2
187811,2029,12345680,2020-01-04,57792.25,13292.22,71084.47,0.23,,0
263412,2029,12345679,2020-01-07,38019.15,8744.4,46763.55,0.23,Services,3
618328,2029,12345680,2020-01-10,30363.28,6983.55,37346.83,0.23,Services,5
442097,2029,12345679,2020-01-13,32916.5,7570.8,40487.3,0.23,Services,2
635078,2029,12345680,2020-01-16,52758.22,12134.39,64892.61,0.23,Services,2
812551,2029,12345679,2020-01-19,58276.85,13403.68,71680.53,0.23,Services,1
977122,6453,12345679,2019-10-31,40663.82,9352.68,50016.5,0.23,Services,4
957039,6453,12345680,2019-11-03,47511.28,10927.59,58438.87,0.23,Services,0
671111,6453,12345679,2019-11-06,41401.31,9522.3,50923.61,0.23,Services,2
983954,6453,12345680,2019-11-09,44401.78,10212.41,54614.19,0.23,Services,5
444228,6453,12345679,2019-11-12,52963.41,12181.58,65144.99,0.23,Services,4
780490,6453,12345680,2019-11-15,32948.33,7578.12,40526.45,0.23,Services,5
903019,6453,12345679,2019-11-18,43225.39,9941.84,53167.23,0.23,Services,0
612406,3915,1798,2019-09-16,8680.89,434.04,9114.93,0.05,Pharmaceuticals,24
194245,3915,2192,2019-09-19,7951.06,397.55,8348.61,0.05,Furniture,25
101209,3915,4659,2019-09-22,8600.21,430.01,9030.22,0.05,Education Services,26
513478,3915,2868,2019-09-25,385.74,88.72,474.46,0.23,Construction Materials,49
492168,3915,5232,2019-09-28,9676.21,2225.53,11901.74,0.23,Services,40
104918,3915,3215,2019-10-01,561.15,28.06,589.21,0.05,Pharmaceuticals,9
510442,3915,6139,2019-10-04,760.54,38.03,798.57,0.05,Machinery,43
299950,3915,5403,2019-10-07,9895.41,494.77,10390.18,0.05,Construction Materials,16
813318,3915,3293,2019-10-10,806.01,185.38,991.39,0.23,Machinery,46
321119,3915,6371,2019-10-13,377.68,18.88,396.56,0.05,Automotive,16
487728,3915,5544,2019-10-16,9499.35,759.95,10259.3,0.08,Food,23
248339,3915,5340,2019-10-19,7820.11,1798.63,9618.74,0.23,Electronics,20
690885,3915,6862,2019-10-22,9767.1,781.37,10548.47,0.08,,25
860696,3915,1389,2019-10-25,6441.4,515.31,6956.71,0.08,Pharmaceuticals,1
359973,3915,3472,2019-10-28,912.81,73.02,985.83,0.08,Furniture,51
992727,3915,5800,2019-10-31,930.1,46.51,976.61,0.05,Electronics,40
765308,3915,1484,2019-11-03,9546.3,763.7,10310.0,0.08,Food,12
293347,3915,7961,2019-11-06,20770.56,1038.53,21809.09,0.05,Food,55
966970,3915,1682,2019-11-09,4270.01,341.6,4611.61,0.08,Furniture,29
612092,3915,9171,2019-11-12,739.37,170.06,909.43,0.23,Financial Services,10
184160,4691,1068,2019-10-03,959.53,47.98,1007.51,0.05,Office Supplies,59
421087,4691,2293,2019-10-06,7783.56,389.18,8172.74,0.05,Financial Services,27
868725,4691,7043,2019-10-09,1739.64,400.12,2139.76,0.23,Financial Services,43
956562,4691,8034,2019-10-12,938.84,75.11,1013.95,0.08,Construction Materials,55
775094,4691,5918,2019-10-15,453.76,22.69,476.45,0.05,Financial Services,9
804212,4691,6371,2019-10-18,3136.49,721.39,3857.88,0.23,Financial Services,10
279896,4691,9335,2019-10-21,964.44,221.82,1186.26,0.23,Food,10
430303,4691,4925,2019-10-24,979.88,78.39,1058.27,0.08,Healthcare Equipment,23
117411,4691,6740,2019-10-27,17398.89,4001.74,21400.63,0.23,Office Supplies,16
570570,4691,2454,2019-10-30,9732.46,486.62,10219.08,0.05,Construction Materials,19
454134,4691,8378,2019-11-02,910.86,209.5,1120.36,0.23,Electronics,39
822241,4691,9747,2019-11-05,905.88,72.47,978.35,0.08,Clothing,42
964438,4691,1526,2019-11-08,883.87,203.29,1087.16,0.23,Financial Services,6
546920,4691,6485,2019-11-11,965.17,77.21,1042.38,0.08,Automotive,12
471503,4691,3668,2019-11-14,9889.62,494.48,10384.1,0.05,Food,34
355758,4691,7911,2019-11-17,8677.09,694.17,9371.26,0.08,Healthcare Equipment,22
465742,4691,9621,2019-11-20,7376.82,368.84,7745.66,0.05,Healthcare Equipment,8
754305,4691,5593,2019-11-23,4979.82,398.39,5378.21,0.08,Electronics,13
164344,4691,2939,2019-11-26,7475.42,373.77,7849.19,0.05,Clothing,39
118515,4691,4119,2019-11-29,5849.2,1345.32,7194.52,0.23,Healthcare Equipment,22
973440,6703,9515,2019-09-14,9085.06,2089.56,11174.62,0.23,Financial Services,42
199027,6703,3727,2019-09-17,721.14,57.69,778.83,0.08,Services,48
624324,6703,8481,2019-09-20,8487.17,424.36,8911.53,0.05,Clothing,25
174573,6703,1082,2019-09-23,24775.56,1238.78,26014.34,0.05,Automotive,41
662465,6703,4665,2019-09-26,573.55,45.88,619.43,0.08,Pharmaceuticals,57
171982,6703,7971,2019-09-29,743.11,37.16,780.27,0.05,Education Services,24
858072,6703,6750,2019-10-02,7950.97,397.55,8348.52,0.05,Healthcare Equipment,56
428140,6703,3974,2019-10-05,8117.25,405.86,8523.11,0.05,Clothing,45
702611,6703,2040,2019-10-08,8412.64,420.63,8833.27,0.05,Furniture,6
119718,6703,9783,2019-10-11,715.22,35.76,750.98,0.05,Furniture,9
671061,6703,9464,2019-10-14,9986.17,499.31,10485.48,0.05,Services,4
629679,6703,9814,2019-10-17,793.59,182.53,976.12,0.23,Office Supplies,52
283023,6703,3839,2019-10-20,2145.1,493.37,2638.47,0.23,Software,51
953233,6703,2536,2019-10-23,929.64,213.82,1143.46,0.23,Software,52
311108,6703,5362,2019-10-26,937.24,215.57,1152.81,0.23,Pharmaceuticals,2
407814,6703,6300,2019-10-29,6484.77,518.78,7003.55,0.08,Electronics,38
460761,6703,9179,2019-11-01,4666.5,373.32,5039.82,0.08,Automotive,20
125110,6703,6631,2019-11-04,757.75,37.89,795.64,0.05,Healthcare Equipment,9
845397,6703,6078,2019-11-07,512.17,25.61,537.78,0.05,Services,18
953403,6703,9099,2019-11-10,8331.03,416.55,8747.58,0.05,Clothing,59
250326,7951,6398,2019-11-24,21696.87,1084.84,22781.71,0.05,Food,9
300633,7951,3780,2019-11-27,9988.12,2297.27,12285.39,0.23,Education Services,17
243531,7951,4928,2019-11-30,544.72,125.29,670.01,0.23,Clothing,32
910266,7951,5541,2019-12-03,896.11,44.81,940.92,0.05,Healthcare Equipment,11
114610,7951,5597,2019-12-06,931.2,74.5,1005.7,0.08,Healthcare Equipment,41
639666,7951,3152,2019-12-09,5653.83,452.31,6106.14,0.08,Pharmaceuticals,6
965461,7951,9814,2019-12-12,892.83,71.43,964.26,0.08,Construction Materials,25
687482,7951,6600,2019-12-15,829.61,41.48,871.09,0.05,Automotive,12
374334,7951,2070,2019-12-18,817.89,65.43,883.32,0.08,Food,44
188072,7951,9220,2019-12-21,790.3,181.77,972.07,0.23,Construction Materials,47
497039,7951,9467,2019-12-24,939.04,215.98,1155.02,0.23,Services,21
360788,7951,8947,2019-12-27,6165.22,493.22,6658.44,0.08,Services,35
347390,7951,8556,2019-12-30,3422.85,787.26,4210.11,0.23,Automotive,21
564965,7951,3974,2020-01-02,983.95,49.2,1033.15,0.05,Education Services,16
704778,7951,9018,2020-01-05,701.68,35.08,736.76,0.05,Automotive,46
104680,7951,4460,2020-01-08,567.79,45.42,613.21,0.08,,29
443247,7951,5764,2020-01-11,396.2,31.7,427.9,0.08,Automotive,13
719068,7951,7393,2020-01-14,843.5,67.48,910.98,0.08,Education Services,58
283939,7951,8556,2020-01-17,793.51,182.51,976.02,0.23,Furniture,24
971741,7951,3293,2020-01-20,635.88,50.87,686.75,0.08,Services,7
852703,7859,7357,2019-07-04,2844.56,654.25,3498.81,0.23,Office Supplies,47
164479,7898,8944,2019-05-28,11121.22,889.7,12010.92,0.08,,39
255986,6315,1714,2019-02-09,222.58,51.19,273.77,0.23,Clothing,3
485238,1473,9560,2019-03-05,283.06,65.1,348.16,0.23,Services,54
887331,2105,7992,2019-12-05,24361.59,1218.08,25579.67,0.05,Education Services,29
256356,4619,1537,2019-01-02,8611.32,1980.6,10591.92,0.23,Clothing,46
598652,5098,6895,2019-01-01,151.23,12.1,163.33,0.08,Automotive,45
965144,6115,2043,2019-11-28,476.44,23.82,500.26,0.05,Healthcare Equipment,21
935161,1343,8035,2019-09-19,19874.51,993.73,20868.24,0.05,Office Supplies,2
909842,3407,2906,2019-07-13,1358.21,312.39,1670.6,0.23,Software,33
135561,2363,8152,2019-03-17,24586.67,1966.93,26553.6,0.08,Pharmaceuticals,38
615917,7801,4655,2019-10-02,1906.91,152.55,2059.46,0.08,Automotive,44
453518,5544,7297,2019-04-13,12898.74,644.94,13543.68,0.05,Automotive,31
659957,4823,1381,2019-12-12,2901.69,145.08,3046.77,0.05,Food,6
367518,6539,1422,2019-06-13,167.53,13.4,180.93,0.08,Electronics,44
687522,4327,3251,2019-07-09,1306.66,104.53,1411.19,0.08,Services,38
329184,8902,5615,2019-04-26,22859.56,1142.98,24002.54,0.05,Automotive,9
239159,1925,2156,2019-01-30,5897.21,294.86,6192.07,0.05,,18
289158,9783,9050,2019-05-28,16564.62,3809.86,20374.48,0.23,Office Supplies,30
482011,3378,4866,2019-05-14,7443.0,595.44,8038.44,0.08,Healthcare Equipment,8
429537,3645,4745,2019-07-02,16276.32,3743.55,20019.87,0.23,Education Services,2
240683,7294,5597,2019-02-15,561.79,28.09,589.88,0.05,Services,42
648443,3420,7421,2019-10-15,18625.17,931.26,19556.43,0.05,Food,35
466890,7120,1929,2019-12-27,445.79,22.29,468.08,0.05,Services,7
508650,7340,2379,2019-02-15,960.16,220.84,1181.0,0.23,Furniture,1
601682,7398,4889,2019-02-12,1611.9,80.6,1692.5,0.05,Education Services,48
641258,4925,1826,2019-03-05,495.0,24.75,519.75,0.05,Pharmaceuticals,59
353821,9158,7992,2019-01-13,2101.48,483.34,2584.82,0.23,Pharmaceuticals,41
742973,9514,8919,2019-01-21,891.41,205.02,1096.43,0.23,Services,32
210465,7258,7032,2019-01-29,2585.75,594.72,3180.47,0.23,Pharmaceuticals,34
586337,3407,5057,2019-10-28,3330.78,166.54,3497.32,0.05,Furniture,8
503361,6167,1786,2019-07-14,177.3,8.87,186.17,0.05,Services,60
218571,7971,2164,2019-01-10,148.47,7.42,155.89,0.05,Office Supplies,39
604258,1733,7479,2019-12-31,281.98,14.1,296.08,0.05,Clothing,35
917610,7055,7760,2019-12-27,1147.99,57.4,1205.39,0.05,Machinery,20
268778,3808,1151,2019-08-15,8007.0,400.35,8407.35,0.05,Financial Services,38
918656,2329,1925,2019-06-09,531.65,26.58,558.23,0.05,Pharmaceuticals,44
376424,3378,1763,2019-01-10,346.72,17.34,364.06,0.05,Clothing,47
241419,1792,8226,2019-05-16,4549.71,1046.43,5596.14,0.23,Healthcare Equipment,6
213441,7340,5156,2019-01-03,1871.87,93.59,1965.46,0.05,Office Supplies,57
498592,3692,5240,2019-12-30,1590.31,79.52,1669.83,0.05,Clothing,11
684113,9073,1966,2019-01-22,654.96,32.75,687.71,0.05,Financial Services,55
129848,9226,3502,2019-11-30,281.96,22.56,304.52,0.08,Financial Services,39
144108,6676,2916,2019-04-29,8324.1,1914.54,10238.64,0.23,Construction Materials,40
846296,1867,8441,2019-01-21,4661.82,1072.22,5734.04,0.23,Clothing,10
904350,4245,9868,2019-12-16,278.94,64.16,343.1,0.23,Healthcare Equipment,29
651286,7258,7305,2019-06-08,229.06,11.45,240.51,0.05,Healthcare Equipment,22
327962,9198,4901677,2019-04-05,222.12,51.09,273.21,0.23,Services,17
309945,9674,7952,2019-05-19,4341.63,347.33,4688.96,0.08,Furniture,28
338839,6274,9115212733,2019-10-30,1126.28,259.04,1385.32,0.23,Services,35
333752,6357,8377,2019-12-28,572.21,131.61,703.82,0.23,Electronics,49
412716,9482,9971,2019-10-03,15622.88,1249.83,16872.71,0.08,Services,43
301699,3502,7971,2019-11-17,384.23,30.74,414.97,0.08,Services,3
376233,7099,8556,2019-12-01,24506.46,1225.32,25731.78,0.05,Financial Services,20
421199,3779,6685,2019-01-08,506.15,25.31,531.46,0.05,Financial Services,44
767998,9966,6295,2019-01-19,931.59,74.53,1006.12,0.08,Furniture,56
805650,6295,3930,2019-01-16,271.95,62.55,334.5,0.23,Healthcare Equipment,29
199730,4991,8158,2019-06-22,2712.52,623.88,3336.4,0.23,Food,43
338447,6600,7801,2019-04-24,17392.95,1391.44,18784.39,0.08,Automotive,60
189677,1302,1422,2019-12-08,8389.3,419.46,8808.76,0.05,Clothing,15
131903,2464,2044,2019-04-07,1095.19,87.62,1182.81,0.08,Electronics,16
629192,8508,1048,2019-10-06,767.71,38.39,806.1,0.05,Furniture,39
129942,2328,5814,2019-04-17,7757.42,1784.21,9541.63,0.23,Automotive,48
107714,3775,6132,2019-05-29,8128.28,650.26,8778.54,0.08,Electronics,34
126958,7396,6917,2019-07-28,4609.69,230.48,4840.17,0.05,Machinery,42
754836,7396,7073,2019-09-01,116.29,9.3,125.59,0.08,Services,56
204216,5538,1185,2019-10-30,235.4,11.77,247.17,0.05,Machinery,59
133530,6422,2405,2019-12-29,4327.69,216.38,4544.07,0.05,Pharmaceuticals,53
770528,3756,9335,2019-01-21,898.79,206.72,1105.51,0.23,Automotive,18
869626,2454,3419,2019-10-27,6881.39,344.07,7225.46,0.05,Office Supplies,27
194789,6238,4984,2019-04-29,297.86,68.51,366.37,0.23,Services,17
490051,5694,5061,2019-01-21,19878.09,993.9,20871.99,0.05,Electronics,12
355510,9598,4541,2019-06-24,264.45,13.22,277.67,0.05,Healthcare Equipment,39
155313,3650,2750,2019-02-11,124.14,9.93,134.07,0.08,Pharmaceuticals,5
574068,3543,9998,2019-06-24,897.08,71.77,968.85,0.08,Software,15
503596,1372,3199,2019-02-01,421.91,97.04,518.95,0.23,Electronics,45
487560,1151,9654,2019-08-22,367.94,29.44,397.38,0.08,,9
893020,8256,5098,2019-12-13,352.24,28.18,380.42,0.08,Automotive,37
557567,1356,6295,2019-04-10,8376.0,1926.48,10302.48,0.23,Office Supplies,56
392225,6796,12345679,2019-07-02,1027.78,236.39,1264.17,0.23,Services,43
448878,1250,5613,2019-06-06,1356.82,108.55,1465.37,0.08,Automotive,26
469660,6895,4663,2019-06-26,891.84,71.35,963.19,0.08,Food,35
329191,5531,4469,2019-01-06,319.54,73.49,393.03,0.23,Construction Materials,53
606362,5786,9565,2019-03-31,3905.81,312.46,4218.27,0.08,Financial Services,10
632398,9226,4434,2019-12-20,166.09,13.29,179.38,0.08,Healthcare Equipment,24
123275,6935,6390,2019-12-03,1992.66,458.31,2450.97,0.23,Food,59
655449,7392,1372,2019-02-27,1612.12,80.61,1692.73,0.05,Food,58
635189,3472,8645,2019-04-26,6384.72,1468.49,7853.21,0.23,Construction Materials,49
337588,3690,9613,2019-06-28,22629.42,1810.35,24439.77,0.08,Office Supplies,25
836497,9464,9812,2019-01-17,1478.41,118.27,1596.68,0.08,Construction Materials,53
824173,9444,9226,2019-01-29,911.49,45.57,957.06,0.05,Pharmaceuticals,26
501921,8816,8070,2019-11-09,497.74,114.48,612.22,0.23,Education Services,20
403548,2044,4340,2019-08-30,366.32,18.32,384.64,0.05,Electronics,23
613664,5426,5003,2019-12-18,930.49,46.52,977.01,0.05,Construction Materials,16
624368,5114,4674,2019-07-31,23599.2,5427.82,29027.02,0.23,Machinery,21
820302,5853,3361,2019-07-16,226.88,52.18,279.06,0.23,Construction Materials,25
784352,3668,4306,2019-03-09,133.33,30.67,164.0,0.23,Financial Services,52
826426,4665,1546,2019-12-28,216.49,49.79,266.28,0.23,Healthcare Equipment,2
507982,4642,5614,2019-07-09,143.54,11.48,155.02,0.08,Machinery,34
597590,9224,2326,2019-11-16,3025.38,151.27,3176.65,0.05,Automotive,46
583568,3136,7911,2019-01-30,8456.47,676.52,9132.99,0.08,Machinery,41
888541,3269,4663,2019-04-08,427.23,34.18,461.41,0.08,Healthcare Equipment,43
403173,4642,1627,2019-11-01,812.82,65.03,877.85,0.08,Food,22
332390,1786,4313,2019-07-20,174.2,40.07,214.27,0.23,Education Services,29
753705,6917,2916,2019-04-05,716.98,164.91,881.89,0.23,Software,60
