station_id,district,latitude,longitude,elevation_m,installed_year,height_m
ST057,KRZYKI,51.133658,17.053234,62,2024,17
ST058,PSIE_POLE,51.182897,17.134315,53,2021,13
ST059,FABRYCZNA,51.089283,16.952099,47,2025,18
ST060,FABRYCZNA,51.082451,16.953,72,2008,6
ST061,STARE_MIASTO,51.080221,17.040792,62,2008,21
ST062,PSIE_POLE,51.175488,17.158673,58,2013,28
ST063,PSIE_POLE,51.138319,17.044859,74,2006,12
ST064,STARE_MIASTO,51.154834,16.96861,31,2019,3
ST065,PSIE_POLE,51.117705,17.142585,57,2020,3
ST066,PSIE_POLE,51.064646,17.127174,42,2021,15
ST067,PSIE_POLE,51.170068,17.13053,61,2019,15
ST068,KRZYKI,51.057336,17.031316,52,2023,17
ST069,FABRYCZNA,51.105719,16.978847,46,2006,17
ST070,KRZYKI,51.012243,16.986641,27,2006,3
ST071,FABRYCZNA,51.095761,16.987977,45,2008,19
ST072,KRZYKI,51.128469,17.035734,70,2021,12
ST073,SRODMIESCIE,51.095191,17.031224,27,2007,9
ST074,FABRYCZNA,51.147625,17.026831,29,2009,14
ST075,FABRYCZNA,51.083081,16.976988,48,2015,18
ST076,KRZYKI,51.060825,17.017144,33,2020,7
ST077,KRZYKI,51.096976,17.03093,54,2014,21
ST078,STARE_MIASTO,51.097002,16.973626,66,2008,9
ST079,PSIE_POLE,51.184511,17.140335,48,2019,25
ST080,STARE_MIASTO,51.181694,17.035475,52,2014,19
ST081,STARE_MIASTO,51.079402,17.046023,49,2025,6
ST082,KRZYKI,51.026365,16.955581,33,2014,8
ST083,SRODMIESCIE,51.114238,17.132489,66,2007,14
ST084,FABRYCZNA,51.105252,16.946625,52,2017,16
ST085,FABRYCZNA,51.107626,17.000554,32,2016,30
ST086,FABRYCZNA,51.127308,17.015329,51,2018,16
ST087,STARE_MIASTO,51.107013,17.025884,38,2010,6
ST088,KRZYKI,51.105295,17.081911,55,2012,9
ST089,FABRYCZNA,51.135389,16.945653,64,2007,9
ST090,PSIE_POLE,51.075822,17.065198,70,2020,18
ST091,FABRYCZNA,51.094318,16.8979,5,2016,28
ST092,STARE_MIASTO,51.124221,17.010317,56,2025,3
ST093,KRZYKI,51.071594,17.042479,48,2019,14
ST094,KRZYKI,51.105391,17.010965,63,2010,23
ST095,KRZYKI,51.048045,17.002992,70,2019,21
ST096,PSIE_POLE,51.130011,17.183202,51,2008,13
ST097,KRZYKI,51.136765,17.024029,35,2010,15
ST098,FABRYCZNA,51.064698,16.983499,41,2024,20
ST099,FABRYCZNA,51.035701,16.926537,24,2022,13
ST100,SRODMIESCIE,51.118227,17.044865,47,2022,13
